,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,weight,weight,weight,weight,weight,weight,weight,Unlabeled 1554,Unlabeled 1554,Unlabeled 1554,Unlabeled 1555,Unlabeled 1555,Unlabeled 1555,Unlabeled 1556,Unlabeled 1556,Unlabeled 1556,Unlabeled 1557,Unlabeled 1557,Unlabeled 1557,Unlabeled 1558,Unlabeled 1558,Unlabeled 1558,Unlabeled 1559,Unlabeled 1559,Unlabeled 1559,Unlabeled 1561,Unlabeled 1561,Unlabeled 1561,Unlabeled 1563,Unlabeled 1563,Unlabeled 1563,Unlabeled 1565,Unlabeled 1565,Unlabeled 1565,weight:Marker1,weight:Marker1,weight:Marker1,weight:Marker2,weight:Marker2,weight:Marker2,weight:Marker3,weight:Marker3,weight:Marker3
,ID,"1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","DFD50","DFD50","DFD50","DFD60","DFD60","DFD60","DFD70","DFD70","DFD70","DFD80","DFD80","DFD80","DFD90","DFD90","DFD90","DFDA0","DFDA0","DFDA0","DFE40","DFE40","DFE40","DFE60","DFE60","DFE60","DFE80","DFE80","DFE80","DFE00","DFE00","DFE00","DFDE0","DFDE0","DFDE0","DFD30","DFD30","DFD30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,0.116667,0.089518,0.113030,0.704133,-0.695276,0.083439,0.533123,0.070669,1.784272,0.159759,-1.824150,1.778791,0.558593,-1.841324,1.641325,0.284182,-1.706449,1.584732,0.201418,-1.683905,1.520748,0.151922,-1.992928,1.517042,0.409537,-1.991868,,,,,,,,,,0.083462,0.502145,0.053568,0.084542,0.563236,0.052877,0.082312,0.533988,0.105563
43,0.119444,0.090624,0.110487,0.703583,-0.696097,0.083466,0.533135,0.070903,1.784250,0.159779,-1.824113,1.778870,0.558569,-1.841430,1.641326,0.284168,-1.706468,1.584693,0.201432,-1.683851,1.520717,0.151921,-1.992891,1.517653,0.409255,-1.992622,,,,,,,,,,0.083435,0.502191,0.053745,0.084437,0.563286,0.053174,0.082526,0.533926,0.105788
44,0.122222,0.095103,0.104956,0.702504,-0.697444,0.083653,0.533168,0.071112,1.784324,0.159755,-1.824211,1.778845,0.558595,-1.841417,1.641325,0.284174,-1.706444,1.584684,0.201435,-1.683796,1.520709,0.151918,-1.992854,1.517676,0.409260,-1.992630,,,,,,,,,,0.083416,0.502240,0.053920,0.084324,0.563331,0.053481,0.083220,0.533933,0.105935
45,0.125000,0.096047,0.102217,0.702172,-0.698056,0.083661,0.533164,0.071360,1.784267,0.159776,-1.824128,1.778863,0.558601,-1.841418,1.641326,0.284174,-1.706446,1.584671,0.201448,-1.683802,1.520714,0.151919,-1.992872,1.517638,0.409256,-1.992581,,,,,,,,,,0.083351,0.502284,0.054092,0.084220,0.563379,0.053789,0.083413,0.533830,0.106199
46,0.127778,0.096791,0.099833,0.701724,-0.698748,0.083674,0.533160,0.071601,1.784293,0.159773,-1.824156,1.778857,0.558602,-1.841408,1.641347,0.284175,-1.706469,1.584713,0.201423,-1.683853,1.520738,0.151927,-1.992892,1.517679,0.409245,-1.992656,,,,,,,,,,0.083314,0.502319,0.054270,0.084122,0.563422,0.054101,0.083585,0.533740,0.106433
47,0.130556,0.097326,0.097818,0.701445,-0.699238,0.083682,0.533151,0.071857,1.784308,0.159761,-1.824213,1.778818,0.558589,-1.841366,1.641327,0.284176,-1.706454,1.584709,0.201420,-1.683869,1.520722,0.151917,-1.992877,1.517652,0.409258,-1.992594,,,,,,,,,,0.083275,0.502345,0.054460,0.084048,0.563456,0.054409,0.083722,0.533652,0.106703
48,0.133333,0.098207,0.095316,0.701061,-0.699845,0.083708,0.533128,0.072108,1.784263,0.159769,-1.824139,1.778879,0.558588,-1.841475,1.641298,0.284178,-1.706407,1.584676,0.201431,-1.683820,1.520695,0.151944,-1.992808,1.517046,0.409528,-1.991880,,,,,,,,,,0.083239,0.502367,0.054641,0.083966,0.563475,0.054717,0.083920,0.533541,0.106966
49,0.136111,0.099126,0.092577,0.700445,-0.700700,0.083733,0.533107,0.072338,1.784294,0.159776,-1.824163,1.778840,0.558597,-1.841406,1.641322,0.284168,-1.706460,1.584672,0.201431,-1.683827,1.520716,0.151916,-1.992864,1.517652,0.409244,-1.992586,,,,,,,,,,0.083210,0.502385,0.054801,0.083856,0.563508,0.055027,0.084133,0.533427,0.107186
50,0.138889,0.100107,0.090077,0.699960,-0.701370,0.083762,0.533083,0.072541,1.784329,0.159757,-1.824223,1.778846,0.558584,-1.841428,1.641315,0.284171,-1.706453,1.584704,0.201430,-1.683874,1.520715,0.151930,-1.992879,1.517668,0.409241,-1.992628,,,,,,,,,,0.083179,0.502401,0.054947,0.083769,0.563529,0.055289,0.084339,0.533321,0.107387
51,0.141667,0.101126,0.087549,0.699458,-0.702046,0.083793,0.533058,0.072757,1.784275,0.159762,-1.824145,1.778860,0.558590,-1.841424,1.641318,0.284166,-1.706436,1.584730,0.201423,-1.683889,1.520719,0.151930,-1.992868,1.517659,0.409251,-1.992611,,,,,,,,,,0.083148,0.502414,0.055098,0.083681,0.563539,0.055570,0.084551,0.533221,0.107601
52,0.144444,0.102032,0.084866,0.699019,-0.702681,0.083832,0.533030,0.072986,1.784297,0.159758,-1.824184,1.778817,0.558579,-1.841373,1.641309,0.284175,-1.706424,1.584697,0.201435,-1.683848,1.520717,0.151929,-1.992863,1.517680,0.409247,-1.992630,,,,,,,,,,0.083118,0.502429,0.055243,0.083606,0.563547,0.055879,0.084773,0.533113,0.107835
