,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,weight,weight,weight,weight,weight,weight,weight,Unlabeled 1599,Unlabeled 1599,Unlabeled 1599,Unlabeled 1600,Unlabeled 1600,Unlabeled 1600,Unlabeled 1601,Unlabeled 1601,Unlabeled 1601,Unlabeled 1602,Unlabeled 1602,Unlabeled 1602,Unlabeled 1603,Unlabeled 1603,Unlabeled 1603,Unlabeled 1604,Unlabeled 1604,Unlabeled 1604,Unlabeled 1605,Unlabeled 1605,Unlabeled 1605,Unlabeled 1606,Unlabeled 1606,Unlabeled 1606,Unlabeled 1607,Unlabeled 1607,Unlabeled 1607,Unlabeled 1608,Unlabeled 1608,Unlabeled 1608,Unlabeled 1609,Unlabeled 1609,Unlabeled 1609,Unlabeled 1610,Unlabeled 1610,Unlabeled 1610,Unlabeled 1611,Unlabeled 1611,Unlabeled 1611,Unlabeled 1612,Unlabeled 1612,Unlabeled 1612
,ID,"1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","DFCB0","DFCB0","DFCB0","E0510","E0510","E0510","E0570","E0570","E0570","E05C0","E05C0","E05C0","E05F0","E05F0","E05F0","E0680","E0680","E0680","E06A0","E06A0","E06A0","E06B0","E06B0","E06B0","E0730","E0730","E0730","E0740","E0740","E0740","E07A0","E07A0","E07A0","E07B0","E07B0","E07B0","E07C0","E07C0","E07C0","E0950","E0950","E0950"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.044444,,,,,,,,0.092897,0.289939,-0.153989,-0.185222,0.420036,-0.013142,-0.189970,0.422584,0.242486,0.357392,0.423276,0.253770,0.084978,0.287026,0.391799,0.197893,0.296608,0.129389,0.236901,0.297334,0.106532,-0.059604,0.293456,0.119508,-0.041370,0.293512,0.088132,0.077686,0.552934,0.396102,0.212410,0.696036,0.124992,-0.041920,0.691812,0.119708,0.093043,0.547003,-0.152129,0.362615,0.424509,-0.006193
17,0.047222,,,,,,,,0.092887,0.289939,-0.153985,-0.185220,0.420039,-0.013131,-0.189971,0.422581,0.242491,0.357393,0.423271,0.253766,0.084982,0.287020,0.391801,0.197889,0.296604,0.129385,0.236901,0.297335,0.106535,-0.059608,0.293459,0.119506,-0.041374,0.293513,0.088132,0.077678,0.552934,0.396096,0.212414,0.696034,0.124990,-0.041919,0.691813,0.119709,0.093044,0.547008,-0.152132,0.362613,0.424509,-0.006198
18,0.050000,,,,,,,,0.092882,0.289930,-0.153981,-0.185218,0.420048,-0.013119,-0.189972,0.422582,0.242491,0.357394,0.423267,0.253762,0.084986,0.287012,0.391799,0.197894,0.296607,0.129388,0.236903,0.297333,0.106534,-0.059896,0.293419,0.119204,-0.041370,0.293515,0.088134,0.077679,0.552943,0.396094,0.212417,0.696036,0.124987,-0.041922,0.691811,0.119714,0.093035,0.547009,-0.152140,0.362614,0.424502,-0.006206
19,0.052778,,,,,,,,0.092881,0.289920,-0.153979,-0.185218,0.420056,-0.013105,-0.189975,0.422581,0.242488,0.357391,0.423263,0.253760,0.084986,0.287005,0.391800,0.197893,0.296606,0.129386,0.236902,0.297334,0.106532,-0.059605,0.293460,0.119510,-0.041372,0.293515,0.088134,0.077681,0.552950,0.396093,0.212416,0.696034,0.124984,-0.041923,0.691813,0.119719,0.093034,0.547013,-0.152142,0.362617,0.424498,-0.006208
20,0.055556,,,,,,,,0.092882,0.289913,-0.153982,-0.185214,0.420060,-0.013095,-0.189970,0.422585,0.242481,0.357368,0.423246,0.253765,0.084984,0.287001,0.391799,0.197892,0.296604,0.129387,0.236904,0.297334,0.106532,-0.059603,0.293458,0.119514,-0.041369,0.293514,0.088132,0.077686,0.552955,0.396094,0.212416,0.696036,0.124980,-0.041921,0.691810,0.119721,0.093030,0.547011,-0.152137,0.362615,0.424492,-0.006214
21,0.058333,,,,,,,,0.092883,0.289911,-0.153986,-0.185218,0.420062,-0.013094,-0.189972,0.422589,0.242477,0.357393,0.423263,0.253761,0.084979,0.287002,0.391795,0.197891,0.296606,0.129390,0.236906,0.297359,0.106569,-0.059602,0.293460,0.119509,-0.041374,0.293518,0.088133,0.077698,0.552959,0.396105,0.212415,0.696034,0.124975,-0.041921,0.691812,0.119719,0.093022,0.547009,-0.152135,0.362620,0.424486,-0.006229
22,0.061111,,,,,,,,0.092885,0.289919,-0.153989,-0.185218,0.420065,-0.013096,-0.189971,0.422593,0.242476,0.357376,0.423251,0.253765,0.084981,0.287009,0.391792,0.197891,0.296606,0.129387,0.236903,0.297337,0.106530,-0.059897,0.293417,0.119205,-0.041370,0.293513,0.088131,0.077704,0.552949,0.396111,0.212416,0.696034,0.124973,-0.041915,0.691812,0.119719,0.093014,0.546995,-0.152136,0.362619,0.424482,-0.006230
23,0.063889,,,,,,,,0.092880,0.289933,-0.153990,-0.185221,0.420066,-0.013096,-0.189968,0.422595,0.242474,0.357399,0.423272,0.253765,0.084980,0.287020,0.391794,0.197891,0.296604,0.129384,0.236900,0.297336,0.106532,-0.059897,0.293419,0.119203,-0.041368,0.293516,0.088128,0.077704,0.552941,0.396111,0.212408,0.696034,0.124974,-0.041912,0.691811,0.119718,0.093014,0.546996,-0.152135,0.362615,0.424480,-0.006231
24,0.066667,,,,,,,,0.092875,0.289940,-0.153986,-0.185223,0.420067,-0.013101,-0.189967,0.422590,0.242473,0.357401,0.423274,0.253761,0.084982,0.287025,0.391798,0.197890,0.296603,0.129385,0.236903,0.297356,0.106566,-0.059606,0.293460,0.119510,-0.041367,0.293517,0.088129,0.077704,0.552938,0.396108,0.212406,0.696036,0.124976,-0.041912,0.691813,0.119715,0.093012,0.546991,-0.152137,0.362615,0.424484,-0.006223
25,0.069444,,,,,,,,0.092870,0.289945,-0.153981,-0.185228,0.420069,-0.013104,-0.189962,0.422587,0.242471,0.357400,0.423272,0.253758,0.084984,0.287026,0.391804,0.197891,0.296605,0.129389,0.236900,0.297332,0.106531,-0.059603,0.293460,0.119508,-0.041371,0.293515,0.088128,0.077695,0.552931,0.396097,0.212410,0.696034,0.124975,-0.041913,0.691812,0.119712,0.093018,0.546998,-0.152138,0.362606,0.424488,-0.006213
26,0.072222,,,,,,,,0.092871,0.289940,-0.153980,-0.185230,0.420064,-0.013103,-0.189962,0.422581,0.242468,0.357400,0.423273,0.253759,0.084988,0.287019,0.391803,0.197890,0.296605,0.129386,0.236902,0.297336,0.106534,-0.059898,0.293420,0.119202,-0.041371,0.293516,0.088131,0.077695,0.552937,0.396098,0.212404,0.696036,0.124983,-0.041914,0.691813,0.119715,0.093020,0.546999,-0.152139,0.362603,0.424495,-0.006204
27,0.075000,,,,,,,,0.092870,0.289936,-0.153977,-0.185231,0.420057,-0.013109,-0.189960,0.422579,0.242470,0.357403,0.423270,0.253758,0.084992,0.287016,0.391802,0.197890,0.296606,0.129385,0.236900,0.297335,0.106530,-0.059604,0.293461,0.119508,-0.041369,0.293515,0.088133,0.077694,0.552940,0.396095,0.212409,0.696034,0.124984,-0.041910,0.691812,0.119715,0.093023,0.546993,-0.152140,0.362602,0.424501,-0.006193
28,0.077778,,,,,,,,0.092868,0.289931,-0.153980,-0.185239,0.420045,-0.013118,-0.189958,0.422583,0.242475,0.357405,0.423269,0.253760,0.084998,0.287015,0.391800,0.197889,0.296605,0.129390,0.236898,0.297336,0.106531,-0.059608,0.293460,0.119506,-0.041369,0.293515,0.088126,0.077694,0.552939,0.396098,0.212410,0.696036,0.124986,-0.041915,0.691813,0.119713,0.093025,0.546998,-0.152138,0.362605,0.424511,-0.006192
29,0.080556,,,,,,,,0.092875,0.289931,-0.153984,-0.185232,0.420034,-0.013128,-0.189960,0.422585,0.242478,0.357405,0.423272,0.253765,0.084993,0.287017,0.391797,0.197890,0.296606,0.129387,0.236899,0.297336,0.106531,-0.059898,0.293420,0.119199,-0.041375,0.293517,0.088130,0.077703,0.552942,0.396107,0.212406,0.696034,0.124987,-0.041916,0.691813,0.119711,0.093020,0.546991,-0.152133,0.362601,0.424507,-0.006191
30,0.083333,,,,,,,,0.092886,0.289933,-0.153989,-0.185231,0.420032,-0.013139,-0.189960,0.422592,0.242486,0.357399,0.423272,0.253767,0.084992,0.287021,0.391793,0.197889,0.296606,0.129387,0.236897,0.297338,0.106532,-0.059897,0.293421,0.119203,-0.041373,0.293516,0.088129,0.077704,0.552938,0.396109,0.212406,0.696037,0.124986,-0.041919,0.691812,0.119711,0.093019,0.546984,-0.152134,0.362604,0.424507,-0.006192
